,index,size,option,root,dtx,expiry_date,strike,pc,price,theo,side,exch,date,date_time,volume,cond,ivol,ivol_chg,delta,spot,spot_chg,vega_dollar,cond_extra,hilo,events,bid,ask,open_int,bid_exch,bid_size,ask_size,ask_exch
0,1,3680,SH221021C00019000,SH,23,2022-10-21,19.0,C,0.1,0.078286,2,ARCA,2022-09-28,2022-09-28 09:34:12.855000-04:00,3681,,0.363359,0.001513,0.134172,17.035,0.035,3457.0,OPENING,,,0.05,0.1,1684,PHLX,8535.0,3680.0,ARCA
1,61,1438,SAIA221021P00190000,SAIA,23,2022-10-21,190.0,P,7.7,8.3447,-2,BOX,2022-09-28,2022-09-28 12:12:00.250000-04:00,1500,FLR,0.587407,-0.028093,-0.357175,197.94,5.68,26783.0,OPENING,,,7.7,10.2,32,AMEX,26.0,17.0,BOX
2,70,2609,CNI221021C00110000,CNI,23,2022-10-21,110.0,C,4.66603,4.4323,3,[MULTI],2022-09-28,2022-09-28 12:46:33.826000-04:00,2619,ISO,0.336441,0.019525,0.584749,111.375,2.685,28552.0,OPENING,,,4.3,4.6,44,PHLX,72.0,95.0,PHLX
3,71,2900,SYY221021C00077000,SYY,23,2022-10-21,77.0,C,1.0,0.922857,2,BOX,2022-09-28,2022-09-28 12:48:53.913000-04:00,2923,FLR,0.30743,0.004391,0.293423,73.9,0.92,18501.0,OPENING,,,0.85,1.0,21,PHLX,447.0,37.0,PHLX
4,77,2271,CHRW221021C00100000,CHRW,23,2022-10-21,100.0,C,3.49996,3.38613,2,[MULTI],2022-09-28,2022-09-28 12:57:34.904000-04:00,2280,,0.363418,0.007258,0.506547,99.475,1.415,22705.0,OPENING,,,3.3,3.5,33,BXO,14.0,21.0,BXO
5,92,4000,FIVN221021C00070000,FIVN,23,2022-10-21,70.0,C,9.65,9.65362,1,AMEX,2022-09-28,2022-09-28 14:30:33.480000-04:00,4000,SPRD/CROSS,0.6504,0.003632,0.764806,77.655,1.745,24014.0,OPENING,,,9.4,9.8,255,PHLX,54.0,40.0,PHLX
6,93,4000,FIVN221021P00070000,FIVN,23,2022-10-21,70.0,P,1.85,1.89048,-1,AMEX,2022-09-28,2022-09-28 14:30:33.480000-04:00,4036,SPRD/CROSS,0.644235,-0.00324,-0.233292,77.655,1.745,23942.0,OPENING,,,1.75,2.05,304,PHLX,40.0,262.0,PHLX
7,95,834,GDYN221216C00022500,GDYN,79,2022-12-16,22.5,C,1.01001,1.00765,1,[PHLX],2022-09-28,2022-09-28 14:35:51.687000-04:00,834,FLR,0.607313,-0.0117,0.330501,18.955,0.825,2665.0,OPENING,,,0.85,1.15,17,PHLX,70.0,47.0,PHLX
8,96,3500,HOLI221118P00015000,HOLI,51,2022-11-18,15.0,P,0.75,0.721552,1,BOX,2022-09-28,2022-09-28 14:36:06.896000-04:00,3500,SPRD/FLR,0.763253,0.008106,-0.219588,18.015,-0.095001,6961.0,OPENING,,,0.6,0.85,1,PHLX,20.0,71.0,PHLX
9,97,3500,HOLI221118P00017500,HOLI,51,2022-11-18,17.5,P,1.85,1.65717,2,BOX,2022-09-28,2022-09-28 14:36:06.896000-04:00,3500,SPRD/FLR,0.784933,0.071524,-0.404335,18.015,-0.095017,9083.0,OPENING,,,1.4,1.85,3,PHLX,55.0,67.0,PHLX
